row_number,NDVI,Pred_Veg,geometry,latitude,longitude,area,centroid_latitude,centroid_longitude
1,0.733303,Fen,"POLYGON Z ((464434.69400000013 7194868.735100001 0, 464471.0939999996 7194868.735100001 0, 464471.0939999996 7194863.535100002 0, 464460.69400000013 7194863.535100002 0, 464460.69400000013 7194853.1351 0, 464439.8940000003 7194853.1351 0, 464439.8940000003 7194863.535100002 0, 464434.69400000013 7194863.535100002 0, 464434.69400000013 7194868.735100001 0))",,,405.60000001452863,7194861.975100002,464451.5073333332
2,0.731732,Fen,"POLYGON Z ((464471.0939999996 7194868.735100001 0, 464523.0939999996 7194868.735100001 0, 464523.0939999996 7194858.335099999 0, 464517.8940000003 7194858.335099999 0, 464517.8940000003 7194842.735100001 0, 464502.29399999976 7194842.735100001 0, 464497.0939999996 7194842.735100001 0, 464471.0939999996 7194863.535100002 0, 464471.0939999996 7194868.735100001 0))",,,1000.4800000135601,7194857.796361263,464499.88138738764
3,0.743029,Shrubland,"POLYGON Z ((464523.0939999996 7194868.735100001 0, 464549.0939999996 7194868.735100001 0, 464549.0939999996 7194863.535100002 0, 464564.69400000013 7194858.335099999 0, 464569.8940000003 7194858.335099999 0, 464580.29399999976 7194853.1351 0, 464580.29399999976 7194847.9351 0, 464569.8940000003 7194847.9351 0, 464559.49399999995 7194847.9351 0, 464554.29399999976 7194847.9351 0, 464549.0939999996 7194847.9351 0, 464523.0939999996 7194853.1351 0, 464523.0939999996 7194858.335099999 0, 464523.0939999996 7194868.735100001 0))",,,811.2000000145287,7194857.121766668,464547.447333332
4,0.751909,Shrubland,"POLYGON Z ((464549.0939999996 7194868.735100001 0, 464564.69400000013 7194868.735100001 0, 464564.69400000013 7194858.335099999 0, 464549.0939999996 7194863.535100002 0, 464549.0939999996 7194868.735100001 0))",,,121.6800000159815,7194864.690655555,464557.7606666669
5,0.745014,Shrubland,"POLYGON Z ((464564.69400000013 7194868.735100001 0, 464575.0939999996 7194868.735100001 0, 464575.0939999996 7194863.535100002 0, 464590.69400000013 7194858.335099999 0, 464590.69400000013 7194847.9351 0, 464585.49399999995 7194847.9351 0, 464585.49399999995 7194842.735100001 0, 464580.29399999976 7194842.735100001 0, 464580.29399999976 7194847.9351 0, 464580.29399999976 7194853.1351 0, 464569.8940000003 7194858.335099999 0, 464564.69400000013 7194858.335099999 0, 464564.69400000013 7194868.735100001 0))",,,310.96000002227726,7194857.280027538,464578.4099420283
6,0.751621,Fen,"POLYGON Z ((464575.0939999996 7194868.735100001 0, 464590.69400000013 7194868.735100001 0, 464590.69400000013 7194858.335099999 0, 464575.0939999996 7194863.535100002 0, 464575.0939999996 7194868.735100001 0))",,,121.6800000159815,7194864.690655555,464583.7606666669
7,0.733626,Fen,"POLYGON Z ((464606.29399999976 7194868.735100001 0, 464642.69400000013 7194868.735100001 0, 464642.69400000013 7194863.535100002 0, 464647.8940000003 7194863.535100002 0, 464647.8940000003 7194858.335099999 0, 464632.29399999976 7194858.335099999 0, 464616.69400000013 7194858.335099999 0, 464611.49399999995 7194858.335099999 0, 464606.29399999976 7194863.535100002 0, 464606.29399999976 7194868.735100001 0))",,,392.08000009346756,7194863.475329885,464626.4962988513
8,0.72588,Fen,"POLYGON Z ((464642.69400000013 7194868.735100001 0, 464694.69400000013 7194868.735100001 0, 464694.69400000013 7194858.335099999 0, 464673.8940000003 7194858.335099999 0, 464673.8940000003 7194847.9351 0, 464668.69400000013 7194847.9351 0, 464668.69400000013 7194853.1351 0, 464663.49399999995 7194853.1351 0, 464663.49399999995 7194858.335099999 0, 464653.0939999996 7194863.535100002 0, 464647.8940000003 7194863.535100002 0, 464642.69400000013 7194863.535100002 0, 464642.69400000013 7194868.735100001 0))",,,540.8000000629573,7194862.538433331,464671.51066666766
9,0.717089,Fen,"POLYGON Z ((464694.69400000013 7194868.735100001 0, 464715.49399999995 7194868.735100001 0, 464715.49399999995 7194863.535100002 0, 464720.69400000013 7194863.535100002 0, 464720.69400000013 7194858.335099999 0, 464710.29399999976 7194858.335099999 0, 464710.29399999976 7194853.1351 0, 464705.0939999996 7194853.1351 0, 464705.0939999996 7194858.335099999 0, 464694.69400000013 7194858.335099999 0, 464694.69400000013 7194868.735100001 0))",,,270.40000005811453,7194862.495099998,464706.6540000004
10,0.695566,Fen,"POLYGON Z ((464741.49399999995 7194868.735100001 0, 464772.69400000013 7194868.735100001 0, 464772.69400000013 7194858.335099999 0, 464762.29399999976 7194858.335099999 0, 464762.29399999976 7194853.1351 0, 464741.49399999995 7194853.1351 0, 464741.49399999995 7194868.735100001 0))",,,432.6400000552088,7194861.585100001,464755.79400000034
11,0.726877,Shrubland,"POLYGON Z ((464772.69400000013 7194868.735100001 0, 464777.8940000003 7194868.735100001 0, 464777.8940000003 7194858.335099999 0, 464772.69400000013 7194858.335099999 0, 464772.69400000013 7194868.735100001 0))",,,54.08000001356006,7194863.5351,464775.2940000002
12,0.718174,Fen,"POLYGON Z ((464777.8940000003 7194868.735100001 0, 464803.8940000003 7194868.735100001 0, 464803.8940000003 7194863.535100002 0, 464798.69400000013 7194863.535100002 0, 464798.69400000013 7194853.1351 0, 464793.49399999995 7194853.1351 0, 464793.49399999995 7194847.9351 0, 464788.29399999976 7194847.9351 0, 464772.69400000013 7194847.9351 0, 464772.69400000013 7194858.335099999 0, 464777.8940000003 7194858.335099999 0, 464777.8940000003 7194868.735100001 0))",,,486.7200000058116,7194858.623988889,464787.1384444448
13,0.727553,Fen,"POLYGON Z ((464803.8940000003 7194868.735100001 0, 464835.0939999996 7194868.735100001 0, 464835.0939999996 7194858.335099999 0, 464824.69400000013 7194858.335099999 0, 464814.29399999976 7194858.335099999 0, 464814.29399999976 7194863.535100002 0, 464803.8940000003 7194863.535100002 0, 464803.8940000003 7194868.735100001 0))",,,270.4000000339002,7194864.0550999995,464821.57400000084
14,0.709757,Shrubland,"POLYGON Z ((464845.49399999995 7194868.735100001 0, 464887.0939999996 7194868.735100001 0, 464887.0939999996 7194863.535100002 0, 464876.69400000013 7194863.535100002 0, 464850.69400000013 7194863.535100002 0, 464845.49399999995 7194863.535100002 0, 464845.49399999995 7194868.735100001 0))",,,216.31999996706844,7194866.1351,464866.2939999997
15,0.744465,Shrubland,"POLYGON Z ((464424.29399999976 7194868.735100001 0, 464434.69400000013 7194868.735100001 0, 464434.69400000013 7194863.535100002 0, 464439.8940000003 7194863.535100002 0, 464439.8940000003 7194853.1351 0, 464434.69400000013 7194853.1351 0, 464429.49399999995 7194853.1351 0, 464424.29399999976 7194868.735100001 0))",,,175.76000002954154,7194860.7351,464432.69400000025
16,0.733188,Fen,"POLYGON Z ((464590.69400000013 7194868.735100001 0, 464606.29399999976 7194868.735100001 0, 464606.29399999976 7194863.535100002 0, 464611.49399999995 7194858.335099999 0, 464616.69400000013 7194858.335099999 0, 464616.69400000013 7194853.1351 0, 464616.69400000013 7194847.9351 0, 464611.49399999995 7194847.9351 0, 464611.49399999995 7194853.1351 0, 464601.0939999996 7194853.1351 0, 464601.0939999996 7194858.335099999 0, 464590.69400000013 7194858.335099999 0, 464590.69400000013 7194868.735100001 0))",,,283.9200000276044,7194859.903353968,464603.4051111104
17,0.719913,Shrubland,"POLYGON Z ((464809.0939999996 7194853.1351 0, 464803.8940000003 7194853.1351 0, 464803.8940000003 7194863.535100002 0, 464814.29399999976 7194863.535100002 0, 464814.29399999976 7194858.335099999 0, 464814.29399999976 7194853.1351 0, 464809.0939999996 7194853.1351 0))",,,108.16000001743436,7194858.3351,464809.09400000004
18,0.687178,Shrubland,"POLYGON Z ((464845.49399999995 7194847.9351 0, 464845.49399999995 7194853.1351 0, 464850.69400000013 7194853.1351 0, 464850.69400000013 7194863.535100002 0, 464876.69400000013 7194863.535100002 0, 464876.69400000013 7194858.335099999 0, 464881.8940000003 7194858.335099999 0, 464881.8940000003 7194853.1351 0, 464866.29399999976 7194853.1351 0, 464866.29399999976 7194847.9351 0, 464861.0939999996 7194847.9351 0, 464845.49399999995 7194847.9351 0))",,,405.600000038743,7194856.081766668,464862.65400000045
